Cell_ID,frame_i,time_seconds,time_minutes,cell_cycle_stage,generation_num,relative_ID,emerg_frame_i,division_frame_i,bf_mean,bf_median,bf_max,bf_min,bf_CV,cell_area_um2,cell_vol_vox,major_axis_length,minor_axis_length,equivalent_diameter,solidity,extent,velocity_pixel,velocity_um,x_centroid,y_centroid,moments,inertia_tensor,euler_number
1,0,0.0,0.0,G1,2,-1,-1,-1,3257.2438391699093,2930.5,10518.0,1573.0,0.4059974768425618,1542.0,43320.8515625,46.51736815668895,42.23394038971716,44.30954048488453,0.9784263959390864,0.7964876033057852,,,354,268,0.0,0.0,1
2,0,0.0,0.0,G1,2,-1,-1,-1,3518.9673832468493,2970.5,11569.0,1105.0,0.5495661766509392,2698.0,92743.953125,66.70121175872848,51.545014419499005,58.61058173824475,0.9828779599271402,0.7496526813003612,,,300,277,0.0,0.0,1
3,0,0.0,0.0,G1,2,-1,-1,-1,3251.6637037037035,3176.0,6940.0,1886.0,0.2090160073384508,675.0,12832.412109375,30.1916760236367,28.521387952956427,29.3161507141752,0.9712230215827338,0.8035714285714286,,,303,323,0.0,0.0,1
1,1,180.0,3.0,G1,2,-1,-1,-1,3184.7988542329726,2805.0,10507.0,1553.0,0.4170508151585748,1571.0,44268.8046875,47.19136684131059,42.42803956858793,44.724258795187886,0.9788161993769472,0.7934343434343434,0.2514139118819188,0.2514139118819188,354,268,0.0,0.0,1
2,1,180.0,3.0,G1,2,-1,-1,-1,3336.256947087933,2844.0,11670.0,1080.0,0.5258552703838638,2627.0,89173.765625,65.7218365571009,50.93811914571822,57.8342483656464,0.9838951310861423,0.7546681987934502,0.3207704678283198,0.3207704678283198,301,277,0.0,0.0,1
3,1,180.0,3.0,G1,2,-1,-1,-1,3213.8682476943345,3090.0,6941.0,1782.0,0.2183331417002905,759.0,15077.177734375,32.47256157555333,29.836262388373022,31.086794856562303,0.9693486590038314,0.790625,0.8633144831545859,0.8633144831545859,302,324,0.0,0.0,1
1,2,360.0,6.0,G1,2,-1,-1,-1,3074.190414507772,2777.0,10146.0,1455.0,0.392370339273463,1544.0,43531.73828125,46.419855412707726,42.37548395593856,44.33826628400226,0.9778340721975934,0.7975206611570248,0.523789387052733,0.523789387052733,354,268,0.0,0.0,1
2,2,360.0,6.0,G1,2,-1,-1,-1,3297.6191749427044,2838.5,10240.0,950.0,0.5238095652176185,2618.0,88337.015625,65.86577399360384,50.64403355790604,57.735094423726856,0.9834710743801652,0.7520827348463085,0.2392694809372543,0.2392694809372543,300,277,0.0,0.0,1
3,2,360.0,6.0,G1,2,-1,-1,-1,3209.0655339805826,3097.0,7352.0,1961.0,0.2219904254949168,824.0,16885.552734375,34.31181461555529,30.663217936187515,32.390575556198044,0.9694117647058824,0.807843137254902,0.8042851905373889,0.8042851905373889,302,324,0.0,0.0,1
1,3,540.0,9.0,G1,2,-1,-1,-1,3111.995614035088,2781.5,10430.0,1430.0,0.414728172187824,1596.0,45576.09375,47.35421626583002,42.945327593719824,45.078712419470456,0.9755501222493888,0.7881481481481482,0.4881380324681291,0.4881380324681291,353,267,0.0,0.0,1
2,3,540.0,9.0,G1,2,-1,-1,-1,3144.3241245136187,2724.0,9618.0,1089.0,0.5087580947012407,2570.0,86544.4609375,64.77202943603692,50.55103078372889,57.20337079202036,0.9816653934300992,0.7510227936879018,0.3113970447015443,0.3113970447015443,300,277,0.0,0.0,1
3,3,540.0,9.0,G1,2,-1,-1,-1,3184.944757609921,3052.0,7053.0,1780.0,0.2403814171539566,887.0,18799.716796875,35.64719345137299,31.791391139269145,33.60600357347016,0.9757975797579758,0.8175115207373271,0.5705484218459131,0.5705484218459131,302,325,0.0,0.0,1
1,4,720.0,12.0,G1,2,-1,-1,-1,3159.323618700668,2727.0,11241.0,1454.0,0.4520135479345414,1647.0,47566.2109375,48.30135633857493,43.466315682289775,45.79329132284349,0.9803571428571428,0.7956521739130434,0.4186606095685021,0.4186606095685021,353,267,0.0,0.0,1
2,4,720.0,12.0,G1,2,-1,-1,-1,3108.820732657833,2666.5,9890.0,1120.0,0.5093026026694701,2566.0,85880.8515625,65.09175567541836,50.22588187873002,57.15883721517109,0.983518589497892,0.762782401902497,0.3844239314671578,0.3844239314671578,300,277,0.0,0.0,1
3,4,720.0,12.0,G1,2,-1,-1,-1,3119.7844827586205,2999.5,6148.0,1706.0,0.2454902055382813,928.0,20011.5546875,36.69186736436684,32.32291159709426,34.37391885593249,0.978902953586498,0.8315412186379928,0.8847482708110203,0.8847482708110203,301,326,0.0,0.0,1
